query,rnk,exempt_flag,row_ingested
tanaz bhathena,609695,1,1759250535309
saurabh mukherjee,609697,1,1759250535309
shaguna gahilote and prarthana gahilote,609699,1,1759250535309
fatima bhutto,609701,1,1759250535309
mohsin hamid,609703,1,1759250535309
paulo coelho,609705,1,1759250535309
manju kapoor,609707,1,1759250535309
siddhartha mukherjee,609709,1,1759250535309
monideepa sahu,609684,1,1759250535309
sudha murty,44444,1,1759250535309
farmley,44446,1,1759250535309
titan,44448,1,1759250535309
shonata,44450,1,1759250535309
sonota,44452,1,1759250535309
sonata,44454,1,1759250535309
Fastrack,44456,1,1759250535309
titan watch,44458,1,1759250535309
titan watch for women,44460,1,1759250535309
men watch titan,44462,1,1759250535309
titan watch for men,44464,1,1759250535309
titan watch for men black,44466,1,1759250535309
women watch titan,44468,1,1759250535309
watch for women titan,44470,1,1759250535309
watch titan,44472,1,1759250535309
couple watch titan,44474,1,1759250535309
watch for men titan,44476,1,1759250535309
titan watch women,44478,1,1759250535309
titan watch men,44480,1,1759250535309
women titan watch,44482,1,1759250535309
titan women watch,44484,1,1759250535309
titan raga watch for women,44486,1,1759250535309
titan watch for girl,44488,1,1759250535309
branded watch for women titan,44490,1,1759250535309
titan men watch,44492,1,1759250535309
titanic watch,44494,1,1759250535309
titan watch for boys,44496,1,1759250535309
watch titan company,44498,1,1759250535309
watch men titan,44500,1,1759250535309
men titan watch,44502,1,1759250535309
titan of watch,44504,1,1759250535309
titan company watch,44506,1,1759250535309
fastrack watch for men,44508,1,1759250535309
fastrack watch,44510,1,1759250535309
fastrack women watch,44512,1,1759250535309
women watch fastrack,44514,1,1759250535309
fastrack watch for women,44516,1,1759250535309
fastrack watch for women original,44518,1,1759250535309
watch men fastrack,44520,1,1759250535309
men watch fastrack,44522,1,1759250535309
watch fastrack,44524,1,1759250535309
watch fastrack boys,44526,1,1759250535309
watch for men fastrack,44528,1,1759250535309
fastrack watch for men original,44530,1,1759250535309
fastrack watch for girl,44532,1,1759250535309
watch fastrack for men,44534,1,1759250535309
fastrack watch women,44536,1,1759250535309
fastrack watch for boys,44538,1,1759250535309
watch sonata,44540,1,1759250535309
sonata watch for women,44542,1,1759250535309
sonata watch,44544,1,1759250535309
sonata watch for men,44546,1,1759250535309
women watch sonata,44548,1,1759250535309
sonata watch women,44550,1,1759250535309
sonata watch men,44552,1,1759250535309
Zoop,44554,1,1759250535309
taitan,44556,1,1759250535309
taiten,44558,1,1759250535309
taitn,44560,1,1759250535309
titan,44562,1,1759250535309
titans,44564,1,1759250535309
titen,44566,1,1759250535309
taitan watch for men,44568,1,1759250535309
Titanic watch,44570,1,1759250535309
taitan,44572,1,1759250535309
taiten,44574,1,1759250535309
taitn,44576,1,1759250535309
titan,44578,1,1759250535309
titans,44580,1,1759250535309
titen,44582,1,1759250535309
taitan raga,44584,1,1759250535309
titan raga,44586,1,1759250535309
titen raga,44588,1,1759250535309
titan eyex,44590,1,1759250535309
titan fastrack,44592,1,1759250535309
titan quartz,44594,1,1759250535309
titan raga,44596,1,1759250535309
titen,44598,1,1759250535309
glam21,44600,1,1759250535309
ogbeauty,44602,1,1759250535309
og beauty,44604,1,1759250535309
aadi loafers,45640,1,1759250535309
aadi shoes,45642,1,1759250535309
abros,45644,1,1759250535309
abros shoes,45646,1,1759250535309
action,45648,1,1759250535309
action casual slipper,45650,1,1759250535309
action shoes,45652,1,1759250535309
action flip flops,45654,1,1759250535309
action flip flops for men,45656,1,1759250535309
action flip flops for women,45658,1,1759250535309
action sandals for men,45660,1,1759250535309
action sandals for women,45662,1,1759250535309
action slippers,45664,1,1759250535309
action slipper,45666,1,1759250535309
adda,45668,1,1759250535309
ajanta loafers,45670,1,1759250535309
akiko,45672,1,1759250535309
